Time,Sound Velocity,"Pressure, Strain Gauge [db]",Depth,Temperature ,Conductivity,Salinity,Potential Temperature ,Oxygen [mg/l],Oxygen [umol/Kg],Density
51,1487.34,1.679,1.664,10.8555,34.267219,30.3932,10.8553,5.35232,163.467,1023.223
51.25,1487.35,1.637,1.622,10.8577,34.271849,30.3959,10.8575,5.35381,163.513,1023.2246
51.5,1487.36,1.617,1.602,10.8617,34.274347,30.3951,10.8615,5.35229,163.466,1023.2232
51.75,1487.37,1.624,1.609,10.866,34.272031,30.3892,10.8658,5.35386,163.515,1023.2179
52,1487.37,1.649,1.634,10.8679,34.269106,30.3848,10.8677,5.34606,163.278,1023.2143
52.25,1487.36,1.674,1.658,10.8677,34.264902,30.3807,10.8675,5.34883,163.363,1023.2113
52.5,1487.36,1.687,1.672,10.8665,34.26277,30.3796,10.8663,5.36438,163.838,1023.2107
52.75,1487.35,1.688,1.672,10.8653,34.261978,30.3799,10.8651,5.35958,163.691,1023.2111
53,1487.35,1.681,1.666,10.8642,34.259663,30.3785,10.864,5.35817,163.648,1023.2101
53.25,1487.34,1.676,1.66,10.8636,34.256312,30.3757,10.8634,5.36278,163.789,1023.208
53.5,1487.34,1.679,1.663,10.8659,34.248515,30.3661,10.8657,5.35731,163.623,1023.2002
53.75,1487.36,1.69,1.675,10.8742,34.244128,30.3549,10.874,5.3606,163.726,1023.1902
54,1487.38,1.706,1.69,10.8841,34.240351,30.343,10.8839,5.36259,163.788,1023.1793
54.25,1487.4,1.716,1.7,10.8931,34.237609,30.3329,10.8929,5.36142,163.754,1023.1699
54.5,1487.41,1.712,1.696,10.9,34.236999,30.3266,10.8998,5.3538,163.522,1023.1638
54.75,1487.42,1.692,1.677,10.9023,34.23572,30.3234,10.9021,5.36813,163.96,1023.1609
55,1487.42,1.664,1.649,10.9006,34.237181,30.3263,10.9004,5.36676,163.918,1023.1633
55.25,1487.41,1.636,1.621,10.8992,34.239496,30.3297,10.899,5.37736,164.241,1023.166
